t y1 y2 y3
0,0000000000 2,0000000000 1,0000000000 2,0000000000
0,0050000000 2,1276788997 0,7866082610 1,7905089418
0,0100000000 2,4349195974 0,6187219260 1,6318572220
0,0150000000 2,9550053009 0,4866438319 1,5126338358
0,0200000000 3,7401134937 0,3827417706 1,4239986587
0,0250000000 4,8664306848 0,3010091022 1,3591030947
0,0300000000 6,4414584608 0,2367187869 1,3126413267
0,0350000000 8,6142056897 0,1861509926 1,2805027163
0,0400000000 11,5892285051 0,1463786424 1,2595025470
0,0450000000 15,6458368684 0,1150985882 1,2471734462
0,0500000000 21,1642672678 0,0904987110 1,2416038086
0,0550000000 28,6612701817 0,0711533077 1,2413126247
0,0600000000 38,8384387952 0,0559407500 1,2451525097
0,0650000000 52,6477938982 0,0439786759 1,2522345778
0,0700000000 71,3807497240 0,0345729843 1,2618702384
0,0750000000 96,7887667467 0,0271776951 1,2735261016
0,0800000000 131,2469535280 0,0213633612 1,2867890394
0,0850000000 177,9758861124 0,0167922128 1,3013391150
0,0900000000 241,3423436964 0,0131985988 1,3169286073
0,0950000000 327,2670194143 0,0103735988 1,3333657582
0,1000000000 443,7772410491 0,0081529159 1,3505021788
0,1050000000 601,7562578556 0,0064073512 1,3682230904
0,1100000000 815,9589763393 0,0050353111 1,3864397630
0,1150000000 1106,3888671386 0,0039569127 1,4050836541
0,1200000000 1500,1644309989 0,0031093467 1,4241018682
0,1250000000 2034,0492399743 0,0024432310 1,4434536373
0,1300000000 2757,8814099778 0,0019197415 1,4631075930
0,1350000000 3739,2221714386 0,0015083564 1,4830396532
0,1400000000 5069,6567900842 0,0011850818 1,5032313837
0,1450000000 6873,3350250918 0,0009310564 1,5236687283
0,1500000000 9318,5469276465 0,0007314541 1,5443410251
0,1550000000 12633,4124984545 0,0005746213 1,5652402433
0,1600000000 17127,1468519969 0,0004513985 1,5863603925
0,1650000000 23218,8817348973 0,0003545866 1,6076970639
0,1700000000 31476,7278309761 0,0002785279 1,6292470757
0,1750000000 42670,7157236789 0,0002187757 1,6510081973
0,1800000000 57844,5453843670 0,0001718358 1,6729789360
0,1850000000 78412,8248067032 0,0001349624 1,6951583717
0,1900000000 106292,8507691636 0,0001059977 1,7175460285
0,1950000000 144083,1993370502 0,0000832462 1,7401417753
0,2000000000 195305,7495817262 0,0000653759 1,7629457488
0,2050000000 264733,6661674016 0,0000513400 1,7859582937
0,2100000000 358835,8637492148 0,0000403161 1,8091799164
0,2150000000 486379,3121002526 0,0000316582 1,8326112490
0,2200000000 659245,2229370086 0,0000248588 1,8562530215
0,2250000000 893535,0523738373 0,0000195191 1,8801060403
0,2300000000 1211069,2058719767 0,0000153258 1,9041711715
0,2350000000 1641417,8505254262 0,0000120330 1,9284493277
0,2400000000 2224652,7162972926 0,0000094473 1,9529414581
0,2450000000 3015075,8010462434 0,0000074171 1,9776485406
0,2500000000 4086271,7123992890 0,0000058229 2,0025715761
0,2550000000 5537953,4205739032 0,0000045712 2,0277115832
0,2600000000 7505237,8907488985 0,0000035885 2,0530695951
0,2650000000 10171213,8962472342 0,0000028170 2,0786466564
0,2700000000 13783970,2610409465 0,0000022112 2,1044438214
0,2750000000 18679667,2573197931 0,0000017357 2,1304621519
0,2800000000 25313795,3830977753 0,0000013624 2,1567027160
0,2850000000 34303526,4074995816 0,0000010693 2,1831665874
